from	to	type	weight	strength
YOL001W	YMR165C	PPI	1	0
YOL001W	YNL027W	PPI	1	0
YOL001W	YMR165C	GIneg	-0.07200000000000001	0.15
YMR165C	YNL027W	GIneg	-0.135	0.15
YGL167C	YDR245W	PPI	1	0
YGL167C	YER040W	PPI	1	0
YGL167C	YER040W	GIneg	-0.331	0.15
YGL167C	YDR245W	GIneg	-0.07	0.15
YER040W	YDR245W	GIpos	0.22399999999999998	0.15
YGL253W	YOL097C	PPI	1	0
YGL253W	YKL038W	PPI	1	0
YGL253W	YOL097C	GIpos	0.055	0.15
YOL097C	YKL038W	GIpos	0.077	0.15
YOL001W	YFL033C	PPI	1	0
YBR035C	YFL033C	PPI	1	0
YOL001W	YBR035C	GIneg	-0.105	0.15
YBR035C	YFL033C	GIneg	-0.371	0.15
YBR035C	YNL027W	GIpos	0.053	0.15
YFR053C	YGL253W	PPI	1	0
YFR053C	YLR131C	PPI	1	0
YFR053C	YGL253W	GIneg	-0.457	0.15
YOL097C	YLR131C	GIpos	0.054000000000000006	0.15
YCR073C	YHL020C	PPI	1	0
YCR073C	YDR007W	PPI	1	0
YOL108C	YHL020C	PPI	1	0
YCR073C	YOL108C	GIpos	0.063	0.15
YOL108C	YDR007W	GIpos	0.055999999999999994	0.15
YOL108C	YHL020C	GIpos	0.08199999999999999	0.15
YHL032C	YLR305C	PPI	1	0
YOR047C	YLR305C	PPI	1	0
YOR047C	YOR358W	PPI	1	0
YHL032C	YOR047C	GIpos	0.109	0.15
YHL032C	YOR358W	GIneg	-0.066	0.15
YLR305C	YOR358W	GIneg	-0.092	0.15
YGR063C	YBL008W	PPI	1	0
YGR063C	YBR166C	PPI	1	0
YBL008W	YMR021C	PPI	1	0
YBL008W	YBR166C	GIneg	-0.075	0.15
YBL008W	YMR021C	GIneg	-0.066	0.15
YBR166C	YMR021C	GIpos	0.075	0.15
YGL045W	YBL021C	PPI	1	0
YGL045W	YNL294C	PPI	1	0
YML029W	YNL294C	PPI	1	0
YML029W	YNL219C	PPI	1	0
YGL045W	YNL294C	GIpos	0.45	0.15
YGL045W	YNL219C	GIpos	0.14	0.15
YML029W	YNL294C	GIneg	-0.133	0.15
YML029W	YBL021C	GIneg	-0.08800000000000001	0.15
YNL219C	YBL021C	GIpos	0.059000000000000004	0.15
